Android application is debugging.
02-10 21:27:59.965 I/art     (26521): Late-enabling -Xcheck:jni
02-10 21:33:26.435 D/MultiWindow(26521): MultiWindowProxy constructor.
02-10 21:33:26.435 D/FeatureProxyBase(26521): getService(), serviceName = multiwindow_service_v1
02-10 21:33:26.510 D/ProgressBar(26521): setMax, old = 100, new = 100, backtrace = android.widget.ProgressBar.<init>:300 android.widget.ProgressBar.<init>:262 android.widget.ProgressBar.<init>:258 java.lang.reflect.Constructor.newInstance:-2 java.lang.reflect.Constructor.newInstance:288 , this = android.widget.ProgressBar{a690463 V.ED.... ........ 0,0-0,0 #7f0b00a2 app:id/loadingProgressBar}
02-10 21:33:26.511 D/ProgressBar(26521): setProgress, old = 0, new = 0, max = 100, backtrace = android.widget.ProgressBar.setProgress:1311 android.widget.ProgressBar.<init>:302 android.widget.ProgressBar.<init>:262 android.widget.ProgressBar.<init>:258 java.lang.reflect.Constructor.newInstance:-2 , this = android.widget.ProgressBar{a690463 V.ED.... ........ 0,0-0,0 #7f0b00a2 app:id/loadingProgressBar}
02-10 21:33:26.512 D/ProgressBar(26521): setSecondaryProgress, old = 0, new = 0, max = 100, backtrace = android.widget.ProgressBar.<init>:304 android.widget.ProgressBar.<init>:262 android.widget.ProgressBar.<init>:258 java.lang.reflect.Constructor.newInstance:-2 java.lang.reflect.Constructor.newInstance:288 , this = android.widget.ProgressBar{a690463 V.ED.... ........ 0,0-0,0 #7f0b00a2 app:id/loadingProgressBar}
02-10 21:33:26.614 D/ViewRootImpl(26521): hardware acceleration is enabled, this = ViewRoot{31c4daaf com.companyname.Bakkiefy/md515b4d4a113cfef761ea6b1d5ea53d08c.MainActivity,ident = 4}
02-10 21:33:26.658 D/Dialog  (26521): show
Thread started: <Thread Pool> #18
Thread started: <Thread Pool> #19
02-10 21:33:27.037 I/Choreographer(26521): Skipped 47 frames!  The application may be doing too much work on its main thread.
02-10 21:33:27.126 D/libc-netbsd(26521): [getaddrinfo]: hostname=bakkiefybackend.azurewebsites.net; servname=0; cache_mode=(null), netid=0; mark=0
02-10 21:33:27.126 D/libc-netbsd(26521): [getaddrinfo]: ai_addrlen=0; ai_canonname=(null); ai_flags=2; ai_family=0
02-10 21:33:27.150 D/OpenGLRenderer(26521): CanvasContext() 0xb895e250 initialize 0xb8fa41f8
02-10 21:33:27.150 D/Surface (26521): Surface::connect(this=0xb8fa41f0,api=1)
02-10 21:33:27.156 D/GraphicBuffer(26521): register, handle(0xb8f89c68) (w:166 h:163 s:176 f:0x1 u:0x000f02)
02-10 21:33:27.158 I/MaliEGL (26521): [Mali]window_type=1, is_framebuffer=0, errnum = 0
02-10 21:33:27.158 I/MaliEGL (26521): [Mali]surface->num_buffers=4, surface->num_frames=3, win_min_undequeued=1
02-10 21:33:27.158 I/MaliEGL (26521): [Mali]max_allowed_dequeued_buffers=3
02-10 21:33:27.159 D/Surface (26521): Surface::setBufferCount(this=0xb8fa41f0,bufferCount=4)
02-10 21:33:27.159 D/GraphicBuffer(26521): unregister, handle(0xb8f89c68) (w:166 h:163 s:176 f:0x1 u:0x000f02)
02-10 21:33:27.160 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.166 D/GraphicBuffer(26521): register, handle(0xb8f92648) (w:166 h:163 s:176 f:0x1 u:0x000f02)
02-10 21:33:27.166 D/Surface (26521): Surface::allocateBuffers(this=0xb8fa41f0)
02-10 21:33:27.168 D/Surface (26521): Surface::setBuffersDimensions(this=0xb87969f0,w=320,h=480)
02-10 21:33:27.181 V/InputMethodManager(26521): onWindowFocus: null softInputMode=288 first=true flags=#1800002
02-10 21:33:27.181 V/InputMethodManager(26521): START INPUT: com.android.internal.policy.impl.PhoneWindow$DecorView{2a7e2a51 V.E..... R.....ID 0,0-102,99} ic=null tba=android.view.inputmethod.EditorInfo@3dcc9ebc controlFlags=#104
02-10 21:33:27.252 D/Surface (26521): Surface::setBuffersDimensions(this=0xb87969f0,w=320,h=480)
02-10 21:33:27.266 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.269 D/GraphicBuffer(26521): register, handle(0xb8fb6160) (w:166 h:163 s:176 f:0x1 u:0x000f02)
02-10 21:33:27.285 D/Surface (26521): Surface::setBuffersDimensions(this=0xb87969f0,w=320,h=480)
02-10 21:33:27.298 D/Surface (26521): Surface::setBuffersDimensions(this=0xb87969f0,w=320,h=480)
02-10 21:33:27.315 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.317 D/GraphicBuffer(26521): register, handle(0xb88ca6a0) (w:166 h:163 s:176 f:0x1 u:0x000f02)
02-10 21:33:27.325 D/Surface (26521): Surface::setBuffersDimensions(this=0xb87969f0,w=320,h=480)
02-10 21:33:27.328 V/TextView(26521): stopSelectionActionMode()
02-10 21:33:27.328 V/TextView(26521): stopSelectionActionMode()
02-10 21:33:27.328 V/TextView(26521): stopSelectionActionMode()
02-10 21:33:27.329 V/TextView(26521): stopSelectionActionMode()
02-10 21:33:27.341 D/Surface (26521): Surface::setBuffersDimensions(this=0xb87969f0,w=320,h=480)
02-10 21:33:27.356 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.363 D/GraphicBuffer(26521): register, handle(0xb88a3550) (w:166 h:163 s:176 f:0x1 u:0x000f02)
02-10 21:33:27.376 D/Surface (26521): Surface::setBuffersDimensions(this=0xb87969f0,w=320,h=480)
02-10 21:33:27.382 D/libc-netbsd(26521): getaddrinfo: bakkiefybackend.azurewebsites.net get result from proxy >>
02-10 21:33:27.397 D/Surface (26521): Surface::setBuffersDimensions(this=0xb87969f0,w=320,h=480)
02-10 21:33:27.410 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.425 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.444 D/Surface (26521): Surface::setBuffersDimensions(this=0xb87969f0,w=320,h=480)
02-10 21:33:27.463 D/Surface (26521): Surface::setBuffersDimensions(this=0xb87969f0,w=320,h=480)
02-10 21:33:27.479 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.492 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.511 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.525 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.541 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.551 D/Surface (26521): Surface::setBuffersDimensions(this=0xb87969f0,w=320,h=480)
02-10 21:33:27.563 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.575 D/Surface (26521): Surface::setBuffersDimensions(this=0xb87969f0,w=320,h=480)
02-10 21:33:27.594 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.600 D/Surface (26521): Surface::setBuffersDimensions(this=0xb87969f0,w=320,h=480)
02-10 21:33:27.613 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.631 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.645 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.666 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.679 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.700 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.711 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.733 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.758 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.774 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.798 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.807 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.819 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.837 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.855 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.867 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.884 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.903 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.918 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.939 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.955 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.968 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:27.984 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.001 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.021 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.036 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.055 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.070 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.094 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.117 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.128 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.139 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.159 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.174 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.191 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.211 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.224 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.240 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.257 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.274 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.293 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.317 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.334 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.360 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.374 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.395 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.411 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.430 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.434 D/Mono    (26521): Unloading image System.dll [0xb8fb6268].
02-10 21:33:28.435 D/Mono    (26521): Image addref System[0xb8d328f8] -> System.dll[0xb7e63668]: 8
02-10 21:33:28.435 D/Mono    (26521): Config attempting to parse: 'System.dll.config'.
02-10 21:33:28.435 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/System/System.config'.
02-10 21:33:28.445 D/Mono    (26521): Unloading image System.dll [0xb8fb6268].
02-10 21:33:28.446 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.447 D/Mono    (26521): Image addref System[0xb88a3498] -> System.dll[0xb7e63668]: 9
02-10 21:33:28.451 D/Mono    (26521): Config attempting to parse: 'System.dll.config'.
02-10 21:33:28.452 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/System/System.config'.
02-10 21:33:28.463 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.474 D/Mono    (26521): Unloading image System.dll [0xb8fb6268].
02-10 21:33:28.480 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.486 D/Mono    (26521): Image addref System[0xb88a3498] -> System.dll[0xb7e63668]: 10
02-10 21:33:28.486 D/Mono    (26521): Config attempting to parse: 'System.dll.config'.
02-10 21:33:28.487 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/System/System.config'.
02-10 21:33:28.498 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.514 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.531 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.549 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.565 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.583 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.599 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.600 D/OpenSSLLib(26521): OpensslErr:Module:13(114:155); file:external/openssl/crypto/asn1/asn1_lib.c ;Line:145;Function:ASN1_get_object
02-10 21:33:28.616 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.631 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.632 D/OpenSSLLib(26521): OpensslErr:Module:13(114:155); file:external/openssl/crypto/asn1/asn1_lib.c ;Line:145;Function:ASN1_get_object
02-10 21:33:28.651 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.667 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.684 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.702 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.719 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.737 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.757 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.775 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.786 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.805 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.821 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.838 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.856 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.875 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.889 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.906 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.924 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.940 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.962 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.974 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:28.992 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.046 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.051 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.062 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.081 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.095 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.112 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.128 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.148 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.166 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.185 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.189 W/Mono    (26521): The request to load the assembly System.Core v4.0.0.0 was remapped to v2.0.5.0
02-10 21:33:29.202 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.203 D/Mono    (26521): Unloading image System.Core.dll [0xb8f5e958].
02-10 21:33:29.208 D/Mono    (26521): Image addref System.Core[0xb8f5f2a0] -> System.Core.dll[0xb7d36a10]: 7
02-10 21:33:29.208 D/Mono    (26521): Config attempting to parse: 'System.Core.dll.config'.
02-10 21:33:29.212 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/System.Core/System.Core.config'.
02-10 21:33:29.215 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.228 W/Mono    (26521): The request to load the assembly System.Core v4.0.0.0 was remapped to v2.0.5.0
02-10 21:33:29.237 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.242 D/Mono    (26521): Unloading image System.Core.dll [0xb8f5e958].
02-10 21:33:29.246 D/Mono    (26521): Image addref System.Core[0xb8d3bdc8] -> System.Core.dll[0xb7d36a10]: 8
02-10 21:33:29.247 D/Mono    (26521): Config attempting to parse: 'System.Core.dll.config'.
02-10 21:33:29.248 D/Mono    (26521): Config attempting to parse: '/usr/local/etc/mono/assemblies/System.Core/System.Core.config'.
02-10 21:33:29.253 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.270 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.291 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.303 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.316 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.335 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.350 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.368 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.391 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.401 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.428 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.438 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.457 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.468 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.488 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.502 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.520 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.539 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.558 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.572 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.598 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.610 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.622 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.640 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.656 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.675 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.695 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.709 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.726 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.742 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.761 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.777 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.798 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.813 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.833 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.847 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.865 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.880 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.897 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.927 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.948 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.963 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.984 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:29.996 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.016 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.037 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.060 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.080 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.102 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.121 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.140 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.161 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.175 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.191 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.205 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.231 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.242 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.254 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.272 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.288 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.306 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.323 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.342 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.357 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.374 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
02-10 21:33:30.391 D/Surface (26521): Surface::setBuffersDimensions(this=0xb8fa41f0,w=166,h=163)
